Country Name,Country Code,Series,Series Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Poland,POL,"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",UIS.ROFST.2T3.CP,8.39367,9.62249,7.4472,6.64062,6.31356,7.93284,5.95454,6.22421,6.78023,7.71788,8.54971,9.32653,9.70027,9.58062,7.9418,7.36142,5.67426,4.88116,4.22166,2.86483,..,..,..,..,..,..
Poland,POL,"Out-of-school rate for youth of upper secondary school age, both sexes (%)",UIS.ROFST.3.CP,11.84745,13.26329,8.96163,8.90406,8.60973,12.52446,9.00104,8.65463,8.18072,8.26603,8.95805,10.66251,11.49102,12.06001,9.49716,9.25197,7.02725,6.29429,5.14243,3.60249,..,..,..,..,..,..
Poland,POL,"Out-of-school rate for youth of upper secondary school age, both sexes (household survey data) (%)",UIS.ROFST.H.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,PRT,"Enrolment in upper secondary education, both sexes (number)",UIS.E.3,407077,405903,400344,395724,372499,304073,306427,282513,293614,302300,329137,341459,344621,348434,398447,385210,393618,391538,399775,401050,..,..,..,..,..,..
Portugal,PRT,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,213918,209896,207155,202511,196781,161671,163136,151191,155737,159769,170500,173857,174036,174616,197782,190353,193796,192368,196527,198603,..,..,..,..,..,..
Portugal,PRT,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,193159,196007,193189,193213,175718,142402,143291,131322,137877,142531,158637,167602,170585,173818,200665,194857,199822,199170,203248,202447,..,..,..,..,..,..
Portugal,PRT,"Gross enrolment ratio, upper secondary, both sexes (%)",SE.SEC.ENRR.UP,94.25479,96.60148,98.16997,100.59867,98.43222,83.48493,86.97307,82.12587,86.50157,89.53137,97.50387,100.77442,101.05921,103.10681,118.76639,115.55861,118.90992,119.31896,122.95321,124.54389,..,..,..,..,..,..
Portugal,PRT,"Gross enrolment ratio, upper secondary, female (%)",SE.SEC.ENRR.UP.FE,101.03053,101.96452,103.7596,105.23223,106.36351,90.83559,94.75011,89.87428,93.83273,96.82735,103.45434,105.18492,104.6361,105.18719,119.26864,115.01761,117.70894,118.02804,122.17346,125.29367,..,..,..,..,..,..
Portugal,PRT,"Gross enrolment ratio, upper secondary, male (%)",SE.SEC.ENRR.UP.MA,87.73813,91.45061,92.80883,96.16079,90.84602,76.46032,79.54027,74.71028,79.4868,82.55823,91.8272,96.57386,97.65348,101.09812,118.27548,116.09204,120.09833,120.59288,123.71671,123.81701,..,..,..,..,..,..
Portugal,PRT,"Total net enrolment rate, upper secondary, both sexes (%)",UIS.NERT.3,80.8956,85.8871,80.06312,78.81887,78.55837,..,81.26724,82.2939,..,..,..,..,..,..,97.08693,98.72544,98.67213,98.4505,98.72714,99.20935,..,..,..,..,..,..
Portugal,PRT,"Total net enrolment rate, upper secondary, female (%)",UIS.NERT.3.F,86.7689,91.18347,81.8807,80.1852,82.29482,..,84.98853,85.24238,..,..,..,..,..,..,96.36131,..,..,..,..,..,..,..,..,..,..,..
Portugal,PRT,"Total net enrolment rate, upper secondary, male (%)",UIS.NERT.3.M,75.24687,80.80026,78.31983,77.51024,74.98449,..,77.71067,79.47205,..,..,..,..,..,..,97.79617,..,..,..,..,..,..,..,..,..,..,..
Portugal,PRT,"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",UIS.ROFST.2T3.CP,10.12374,7.59894,10.70624,11.39296,11.29211,..,9.84862,9.31088,..,..,..,..,..,..,1.91868,1.11506,1.09521,1.01402,0.81319,0.45693,..,..,..,..,..,..
Portugal,PRT,"Out-of-school rate for youth of upper secondary school age, both sexes (%)",UIS.ROFST.3.CP,19.1044,14.1129,19.93688,21.18113,21.44163,..,18.73276,17.7061,..,..,..,..,..,..,2.91307,1.27456,1.32787,1.5495,1.27286,0.79065,..,..,..,..,..,..
Portugal,PRT,"Out-of-school rate for youth of upper secondary school age, both sexes (household survey data) (%)",UIS.ROFST.H.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,"Enrolment in upper secondary education, both sexes (number)",UIS.E.3,945602,916610,927469,963010,1010619,1038041,1063337,1051851,1031308,1011385,973213,952742,920991,901056,851544,803109,777860,742297,735222,727911,..,..,..,..,..,..
Romania,ROU,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,472093,458147,462920,483166,506866,519172,531896,522269,505422,492582,474311,461746,444370,437039,412372,391257,380893,363030,361260,358286,..,..,..,..,..,..
Romania,ROU,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,473509,458463,464549,479844,503753,518869,531441,529582,525886,518803,498902,490996,476621,464017,439172,411852,396967,379267,373962,369625,..,..,..,..,..,..
Romania,ROU,"Gross enrolment ratio, upper secondary, both sexes (%)",SE.SEC.ENRR.UP,67.9202,67.94984,69.19768,71.63814,73.24993,73.17146,74.45232,75.46761,79.63848,86.19056,91.83412,97.38781,99.0608,100.52973,96.6177,91.8991,89.99999,87.14738,88.22773,89.48321,..,..,..,..,..,..
Romania,ROU,"Gross enrolment ratio, upper secondary, female (%)",SE.SEC.ENRR.UP.FE,69.52328,69.64922,70.8469,73.69784,75.31027,75.02095,76.35711,76.84054,80.13007,86.26005,92.01007,97.05256,98.3089,100.43595,96.5035,92.41818,90.98103,87.94246,89.40353,90.77426,..,..,..,..,..,..
